address;agr_type;id (main_data.csv);name;source;type;url;lat;lon;photos_number;rating;reviews_number
Иркутск, аллея Мужества, воинской и трудовой доблести;природа;121;аллея Мужества, воинской и трудовой доблести;yandex;Парк культуры и отдыха;https://yandex.ru/maps/org/alleya_muzhestva_voinskoy_i_trudovoy_doblesti/163171988918/;52,280174;104,347404;2;4,3;18
Иркутск, улица Декабрьских Событий;природа;122;сквер МОПРа;yandex;Парк культуры и отдыха;https://yandex.ru/maps/org/skver_mopra/20860270731/;52,291158;104,291778;5;4,1;6
ул. Кольцова, 93;природа;123;Ботанический сад Игу;yandex&2gis;Парк культуры и отдыха;https://yandex.ru/maps/org/botanicheskiy_sad_igu/1075000254/;52,262542;104,245798;227;4,7;343
Иркутск, cквер Космонавтов;природа;124;cквер Космонавтов;yandex&2gis;Парк культуры и отдыха;https://yandex.ru/maps/org/ckver_kosmonavtov/239956345075/;52,287579;104,267839;3;4,2;13
Иркутск, Купеческий сквер;природа;125;Купеческий сквер;yandex&google&2gis;Парк культуры и отдыха;https://yandex.ru/maps/org/kupecheskiy_skver/50471563841/;52,285743;104,305022;29;4,6;4
Иркутск, сад Томсона;природа;126;сад Томсона;yandex&2gis;Парк культуры и отдыха;https://yandex.ru/maps/org/sad_tomsona/29680832353/;52,329357;104,201104;15;3,1;11
ул. Ленина, 20А;культура;127;Сквер имени Хаим-Бера Ходоса;yandex&google&2gis;Сквер;https://yandex.ru/maps/org/skver_imeni_khaim_bera_khodosa/140462215173/;52,283472;104,280419;35;3,3;7
Иркутск, сквер у памятника маршалу Жукову;природа;128;сквер у памятника маршалу Жукову;yandex&2gis;Парк культуры и отдыха;https://yandex.ru/maps/org/skver_u_pamyatnika_marshalu_zhukovu/187611537488/;52,248951;104,351738;7;4,2;11
Иркутск, парк Берёзка;природа;129;парк Берёзка;yandex&2gis;Парк культуры и отдыха;https://yandex.ru/maps/org/park_beryozka/76746225621/;52,355239;104,148771;16;3,4;30
Иркутск, Южный сквер;природа;130;Южный сквер;yandex&2gis;Парк культуры и отдыха;https://yandex.ru/maps/org/yuzhny_skver/83703499913/;52,226229;104,298696;4;3,6;5
Иркутск, парк Победы;природа;131;Парк Победы;yandex&2gis;Парк культуры и отдыха;https://yandex.ru/maps/org/park_pobedy/172417050112/;52,344661;104,215307;3;3,8;20
Иркутск, сквер имени Александра Вампилова;природа;132;сквер имени Александра Вампилова;yandex;Парк культуры и отдыха;https://yandex.ru/maps/org/skver_imeni_aleksandra_vampilova/181651829947/;52,258138;104,238876;0;4;7
15-й Советский пер., 2дробь 1;развлечения;133;Ледяной городок Ледниковый период;yandex;Зимние развлечения;https://yandex.ru/maps/org/ledyanoy_gorodok_lednikovy_period/5345262579/;52,34865;104,177654;20;4,3;23
Иркутск, сквер Прогресс;природа;134;сквер Прогресс;yandex&2gis;Парк культуры и отдыха;https://yandex.ru/maps/org/skver_progress/158788673119/;52,247569;104,270029;11;3,2;10
