id;exp_pht;exp_rat;exp_rev;Популярность
567;0,013035382;0;0,000221484;0,013256866
877;0;0;0;0
568;0,082867784;0,52;0,026578073;0,629445857
569;0;0;0;0
570;0,002793296;0;0;0,002793296
571;0,036312849;0,88;0,002214839;0,918527689
572;0;0;0;0
573;0,001862197;0,84;0,001993355;0,843855553
574;0;0;0;0
575;0,012104283;0,88;0,051384275;0,943488558
576;0,004655493;0,84;0,011295681;0,855951175
577;0,009310987;0,84;0,005315615;0,854626602
578;0,005586592;0,86;0,001993355;0,867579948
579;0,028864060;0,72;0,020155039;0,769019098
580;0,003724395;0,94;0,009523810;0,953248204
581;0,007448790;0,84;0,012624585;0,860073374
582;0,004655493;0,76;0,003543743;0,768199237
583;0,008379888;0,82;0,001771872;0,830151760
584;0,004655493;0,62;0,001107420;0,625762913
585;0,007448790;0;0;0,007448790
878;0;0;0;0
586;0,016759777;0,82;0,006201550;0,842961327
587;0,014897579;0,82;0,011517165;0,846414744
588;0,007448790;0,9;0,008859358;0,916308147
589;0,027001862;0,96;0,001993355;0,988995218
590;0,005586592;0,88;0,006866002;0,892452594
591;0,035381750;0,94;0,004208195;0,979589945
592;0,054003724;0,72;0,051384275;0,825387999
593;0,009310987;0,82;0,000664452;0,829975439
594;0,002793296;0,86;0,003100775;0,865894071
595;0,010242086;0,86;0;0,870242086
596;0,002793296;0,84;0,001328904;0,844122200
597;0,006517691;0,88;0,012624585;0,899142276
598;0,001862197;0,86;0,006423034;0,868285232
599;0;0,82;0,001771872;0,821771872
600;0;0,76;0,000221484;0,760221484
601;0,033519553;0,88;0,004872647;0,918392200
602;0;0,74;0,001328904;0,741328904
603;0;0,56;0,001107420;0,561107420
604;0,007448790;0,86;0,000664452;0,868113241
605;0;0;0,000221484;0,000221484
606;0;0,76;0,000221484;0,760221484
607;0,076350093;0,92;0,003765227;1,000115320
608;0,015828678;0,8;0,000221484;0,816050162
609;0,046554935;0,44;0,001771872;0,488326806
610;0,048417132;0,32;0,001328904;0,369746036
611;0,017690875;0,5;0,000442968;0,518133843
612;0,027932961;0,68;0,000664452;0,708597413
