day;id (time_data.csv);place_id;source (time_data.csv);time;value
Ср;;682;google;30.12.1899 23:00:00;44
Чт;;682;google;30.12.1899 6:00:00;0
Чт;;682;google;30.12.1899 7:00:00;0
Чт;;682;google;30.12.1899 8:00:00;13
Чт;;682;google;30.12.1899 9:00:00;29
Чт;;682;google;30.12.1899 10:00:00;39
Чт;;682;google;30.12.1899 11:00:00;38
Чт;;682;google;30.12.1899 12:00:00;41
Чт;;682;google;30.12.1899 13:00:00;57
Чт;;682;google;30.12.1899 14:00:00;60
Чт;;682;google;30.12.1899 15:00:00;41
Чт;;682;google;30.12.1899 16:00:00;29
Чт;;682;google;30.12.1899 17:00:00;29
Чт;;682;google;30.12.1899 18:00:00;33
Чт;;682;google;30.12.1899 19:00:00;36
Чт;;682;google;30.12.1899 20:00:00;36
Чт;;682;google;30.12.1899 21:00:00;32
Чт;;682;google;30.12.1899 22:00:00;26
Чт;;682;google;30.12.1899 23:00:00;19
Пт;;682;google;30.12.1899 6:00:00;0
Пт;;682;google;30.12.1899 7:00:00;0
Пт;;682;google;30.12.1899 8:00:00;13
Пт;;682;google;30.12.1899 9:00:00;20
Пт;;682;google;30.12.1899 10:00:00;29
Пт;;682;google;30.12.1899 11:00:00;38
Пт;;682;google;30.12.1899 12:00:00;41
Пт;;682;google;30.12.1899 13:00:00;39
Пт;;682;google;30.12.1899 14:00:00;35
Пт;;682;google;30.12.1899 15:00:00;30
Пт;;682;google;30.12.1899 16:00:00;32
Пт;;682;google;30.12.1899 17:00:00;41
Пт;;682;google;30.12.1899 18:00:00;57
Пт;;682;google;30.12.1899 19:00:00;76
Пт;;682;google;30.12.1899 20:00:00;92
Пт;;682;google;30.12.1899 21:00:00;100
Пт;;682;google;30.12.1899 22:00:00;94
Пт;;682;google;30.12.1899 23:00:00;76
Сб;;682;google;30.12.1899 6:00:00;0
Сб;;682;google;30.12.1899 7:00:00;0
Сб;;682;google;30.12.1899 8:00:00;0
Сб;;682;google;30.12.1899 9:00:00;0
Сб;;682;google;30.12.1899 10:00:00;0
Сб;;682;google;30.12.1899 11:00:00;0
Сб;;682;google;30.12.1899 12:00:00;17
Сб;;682;google;30.12.1899 13:00:00;27
Сб;;682;google;30.12.1899 14:00:00;39
Сб;;682;google;30.12.1899 15:00:00;45
Сб;;682;google;30.12.1899 16:00:00;45
Сб;;682;google;30.12.1899 17:00:00;42
Сб;;682;google;30.12.1899 18:00:00;42
Сб;;682;google;30.12.1899 19:00:00;45
Сб;;682;google;30.12.1899 20:00:00;51
Сб;;682;google;30.12.1899 21:00:00;52
Сб;;682;google;30.12.1899 22:00:00;50
Сб;;682;google;30.12.1899 23:00:00;42
Вс;;677;google;30.12.1899 6:00:00;0
Вс;;677;google;30.12.1899 7:00:00;0
Вс;;677;google;30.12.1899 8:00:00;0
Вс;;677;google;30.12.1899 9:00:00;0
Вс;;677;google;30.12.1899 10:00:00;0
Вс;;677;google;30.12.1899 11:00:00;0
Вс;;677;google;30.12.1899 12:00:00;17
Вс;;677;google;30.12.1899 13:00:00;19
Вс;;677;google;30.12.1899 14:00:00;19
Вс;;677;google;30.12.1899 15:00:00;15
Вс;;677;google;30.12.1899 16:00:00;11
Вс;;677;google;30.12.1899 17:00:00;10
Вс;;677;google;30.12.1899 18:00:00;12
Вс;;677;google;30.12.1899 19:00:00;12
Вс;;677;google;30.12.1899 20:00:00;14
Вс;;677;google;30.12.1899 21:00:00;15
Вс;;677;google;30.12.1899 22:00:00;10
Вс;;677;google;30.12.1899 23:00:00;2
Пн;;677;google;30.12.1899 6:00:00;0
Пн;;677;google;30.12.1899 7:00:00;0
Пн;;677;google;30.12.1899 8:00:00;0
Пн;;677;google;30.12.1899 9:00:00;0
Пн;;677;google;30.12.1899 10:00:00;24
Пн;;677;google;30.12.1899 11:00:00;25
Пн;;677;google;30.12.1899 12:00:00;20
Пн;;677;google;30.12.1899 13:00:00;21
Пн;;677;google;30.12.1899 14:00:00;34
Пн;;677;google;30.12.1899 15:00:00;44
Пн;;677;google;30.12.1899 16:00:00;43
Пн;;677;google;30.12.1899 17:00:00;38
Пн;;677;google;30.12.1899 18:00:00;37
Пн;;677;google;30.12.1899 19:00:00;38
Пн;;677;google;30.12.1899 20:00:00;37
Пн;;677;google;30.12.1899 21:00:00;33
Пн;;677;google;30.12.1899 22:00:00;26
Пн;;677;google;30.12.1899 23:00:00;19
Вт;;677;google;30.12.1899 6:00:00;0
Вт;;677;google;30.12.1899 7:00:00;0
Вт;;677;google;30.12.1899 8:00:00;0
Вт;;677;google;30.12.1899 9:00:00;0
